x,y
109.8059171,1.391454931
-4.76584531,30.21226659
-16.19657981,-22.77679626
48.48581934,12.62213294
-19.113841,66.26755992
89.9802775,-20.17987556
-15.26992708,10.69834577
32.22962735,-27.28292799
17.24403824,-47.78835605
-78.4995094,25.68313878
-34.94531026,-29.88848903
-75.75578615,-32.63990446
1.75526394,4.620240437
-65.85318298,-25.22058687
-17.03136964,13.66931979
16.99168546,17.07938245
12.54274938,-34.99412962
49.18254525,-13.05878233
10.33484429,13.83703891
-0.181904746,23.93291244
-7.11034947,21.51918202
-11.1811824,24.3363149
53.67141436,-62.37711424
26.53172118,56.13304265
-31.84211351,-66.39469467
-54.46762502,59.22344896
6.454965491,68.94814362
-37.62676771,-11.20029826
-78.61872866,20.63130633
53.01138921,-4.104390642
7.999463553,67.57070797
14.48752973,-87.67124263
54.78102886,-65.9447673
-18.49211667,6.293675426
62.25848389,5.723001937
24.71912752,-83.57049822
14.44937763,12.84047631
-80.06868788,-14.13955186
-31.17936826,6.445544033
24.97680029,-40.83144437
-16.7465294,-23.45212957
-24.60725958,25.81979591
13.82128858,16.16480662
-11.25200339,-37.93497935
-17.70244918,-80.79332807
48.40911638,17.55768189
-27.50162143,-19.38684558
63.22627245,11.70632736
44.61393373,-6.039006049
-17.22265869,24.5808778
-36.37136184,-9.412100345
-39.44177373,4.522433404
3.258195298,25.76475726
16.66812979,-2.25855217
-32.15848562,-19.83194253
-21.4787477,4.996089671
-23.48970547,-39.45816001
18.14324197,7.088289512
-81.31382465,18.2045504
-15.3971046,20.44601917
-68.47164924,32.79166765
41.59226097,-16.00537578
-6.949472436,14.80768574
-26.44023761,-19.65720917
-30.90147764,-19.88467051
9.121709526,23.20470068
-39.53456772,2.706267347
-35.024963,-76.17061243
74.55322201,-40.01729671
5.728683739,-7.884083772
73.48646935,-38.87145308
-26.05687931,58.3961337
14.21702536,8.469482734
-19.66678974,-23.21366875
-78.04852633,19.23858681
-30.31395949,-89.05605391
6.252605281,-53.03713054
-40.92637187,-11.57530063
-6.47500076,-44.11204251
-0.272263038,-40.03099153
-26.48714973,-41.69571996
9.204328467,5.955636505
-25.49091655,56.86730001
38.35543767,-24.7172585
6.24923561,0.687366884
79.11421781,-52.48347947
49.32374918,-87.17799022
-5.505912994,-35.98363154
92.41342933,-17.50822367
88.5327413,-6.794471778
6.05179282,-1.301358871
83.9243943,-42.76682118
-0.994779594,28.42710371
-67.61477778,-65.73688951
-39.57286726,-72.84020636
98.87749288,-14.04782584
98.64770262,-12.41721045
49.31798917,30.58169175
85.07519244,-43.22860293
20.08926424,4.160073106
18.22762391,61.45261386
99.20272471,-27.62933129
-8.112046843,73.7717356
-59.40352422,-62.22565642
15.8030119,18.44385
-49.9916413,-71.62036995
9.443656624,20.92495068
37.98888137,-90.08903474
-17.65075545,13.35518929
-39.04322081,-71.60549733
-6.019433259,20.25879334
30.80034791,-27.38790639
42.35386384,-32.68156887
-64.33939059,36.24648612
4.174071091,5.107097506
-37.80633956,13.63692465
1.373997599,-98.02603697
57.89528727,-13.93044581
-17.62699766,-35.22524978
-33.36108895,24.1387763
-3.557594118,-81.16271513
-38.72236015,-23.41770458
33.32221771,-32.33240507
-64.06398968,36.94084864
2.500145589,-4.601036507
47.00403635,-15.12864599
98.28958663,-21.634393
-6.92702931,32.15122073
49.76954661,8.79832083
-32.63001741,64.92320588
-1.567093261,72.53237974
