x1,x2,predicted_crop_code
5.26780118,10.2029595,1
40.10113677,49.63371931,2
57.12296829,47.88334651,2
2.086832691,30.03401703,1
49.45635533,48.30675521,2
50.86308183,16.15441251,3
11.24139386,15.74305333,1
64.89798265,36.2813294,2
67.03844072,2.967333467,3
51.74482271,7.47688001,3
27.04939203,57.28946498,2
17.10208697,20.43725897,1
0.836437162,46.43604682,1
10.24035486,7.335460684,1
6.105726538,2.701855161,1
66.98820552,27.96346537,3
2.486819483,27.18623234,1
36.52924088,25.58693506,3
73.27378749,39.91100585,2
7.895191388,15.00773943,1
10.9527598,30.0946575,1
17.68489471,42.17924857,1
54.65349168,58.1209443,2
74.75863219,42.07408114,2
4.249479576,31.36494441,1
44.79984255,51.5635027,2
44.49884499,38.68399882,2
1.894665137,22.70319918,1
45.39629381,41.16208339,2
12.10483099,6.04166941,1
58.35499127,40.49381726,2
36.21672045,54.1910227,2
18.85078654,2.344837846,1
44.49360578,39.63454106,2
83.98124972,67.75605971,2
11.34031987,38.97462577,1
41.15205824,43.71714806,2
32.42609249,18.12598533,1
66.62887983,47.65950345,2
44.61987191,37.15254166,2
26.91031605,24.62812206,1
51.0051099,19.55941428,3
33.31408056,52.28749708,2
3.868343565,20.72345789,1
82.81619962,48.31985128,2
63.42569378,36.47135166,2
50.35298048,15.39296195,3
85.58712203,61.34684942,2
12.8358081,13.19771915,1
79.30665355,64.36335371,2
54.55383079,52.17473767,2
23.5432888,21.71295248,1
49.57292189,9.341935106,3
38.39007165,20.07771676,3
12.54762181,12.84736025,1
34.56880162,56.83182341,2
32.61445526,19.7518928,1
57.85990575,14.60174984,3
77.767575,22.81596604,3
34.8677434,11.16075318,3
66.89659549,10.39968677,3
15.41027668,29.24177881,1
44.95223009,47.29600724,2
53.44686107,41.9565041,2
12.26498235,19.01178986,1
66.35527994,35.27916726,2
11.01143854,-6.233095211,1
64.76622955,7.013479325,3
60.50098324,42.64177376,2
67.88682832,26.04593271,3
15.86303931,40.20424912,1
4.788915139,13.13186042,1
73.14134125,53.64087965,2
16.25387932,54.03946377,2
73.23337372,12.43339211,3
13.39015816,26.96111082,1
3.458570157,31.49881207,1
79.6315117,59.40576881,2
10.56329888,33.82697024,1
73.46171266,49.98909023,2
64.46830846,55.84379523,2
15.96072369,14.1107376,1
3.584139423,37.44626013,1
38.06698158,56.33843222,2
5.577791965,46.89845286,1
84.83965645,66.83610399,2
68.38654684,31.57626478,3
53.83210356,49.18507246,2
2.457230755,34.09219429,1
63.63435177,21.9783658,3
78.90639265,32.45236572,3
2.064812737,40.92168215,1
28.13170385,48.84605264,2
40.56821213,51.65417363,2
18.0735103,50.40266198,2
2.796608863,14.19428259,1
41.28427482,55.89000472,2
19.76337481,24.26067574,1
38.73397929,8.343350333,3
51.81593855,38.99348316,2
15.6879987,6.193968521,1
24.9004621,26.3162496,1
10.58584175,30.31943383,1
16.42304171,43.22258416,1
46.28252438,13.5626253,3
8.781581728,23.75204169,1
19.61201289,48.88095707,2
8.838659156,10.37565532,1
45.8860128,42.20079845,2
61.4168831,34.91956906,2
32.5322322,39.20678541,2
58.36303116,10.47680499,3
56.08075435,44.22292504,2
46.53904506,44.09848118,2
50.53621074,50.59388259,2
16.5157063,29.32797894,1
76.22577588,45.71993527,2
5.463737876,35.93987756,1
52.97733595,41.45169251,2
62.09911005,52.44156233,2
21.33615077,47.55378391,2
54.93458728,50.36070653,2
42.08711266,54.48164745,2
68.56123189,14.09437213,3
14.55858309,-5.938804658,1
9.863307984,-8.139714556,1
27.33178812,50.11345232,2
4.739955193,4.913459204,1
60.90261248,48.26507849,2
67.65322512,8.552522578,3
0.692299865,43.71587565,1
11.25099554,42.49902012,1
40.68429615,57.72920737,2
69.91849397,5.251243072,3
58.3150405,48.58237901,2
7.916408691,9.471688635,1
38.17842604,51.87108716,2
47.41450253,40.21411124,2
1.255485353,2.022371053,1
80.42869002,56.42741129,2
71.74059362,54.59549984,2
65.86046917,50.51960838,2
59.34624185,50.98041433,2
69.39028211,62.0316291,2
48.17729436,58.7674615,2
72.03764387,63.61953328,2
41.61338945,19.77684948,3
50.60761053,13.92534975,3
59.31885745,8.901569465,3
83.4935749,61.09924146,2
54.57385087,5.745009356,3
19.414102,19.89903457,1
59.02392754,62.37728992,2
50.94663234,17.93044202,3
6.326296823,15.88838317,1
1.823868317,11.2918808,1
39.80293083,11.07319824,3
63.8745216,62.20434939,2
18.44017142,-1.223687881,1
0.032876732,35.57459978,1
70.85178231,46.37002525,2
44.59611568,23.15324261,3
1.948143648,23.40120994,1
61.87625075,50.36126984,2
14.26697071,-0.120242233,1
3.413668593,24.32462635,1
0.359703358,28.53089774,1
48.11957996,49.98021006,2
22.78577488,54.55632872,2
25.63368382,3.946574473,1
39.03310824,51.46914836,2
44.93006504,19.60521579,3
52.98770828,50.9800143,2
8.033484529,34.69258206,1
7.525649546,28.165431,1
57.31977638,17.22884563,3
17.91370206,36.76895791,1
23.26561895,33.74746157,1
10.78182004,34.21957477,1
18.99070884,2.214390916,1
26.18004933,48.46969534,2
18.05970783,13.1134433,1
27.57288701,18.84418183,1
56.33989579,58.41301963,2
72.021505,67.54470192,2
9.955045044,2.800073516,1
28.06035357,47.70410197,2
53.39204335,18.452319,3
34.5891928,1.230544007,3
4.539564762,35.82412763,1
1.4691512,15.21322567,1
33.2984464,15.63874307,1
41.21500256,13.22480413,3
38.91051303,39.97571771,2
39.22219481,40.39850892,2
9.579222578,14.35684062,1
57.4123713,42.12180528,2
45.52856306,53.87567988,2
7.76399398,-5.398796465,1
24.19396145,0.004058374,1
3.446848938,13.53781259,1
53.30860897,14.65816456,3
20.40458432,50.93944497,2
34.81608596,36.68441546,2
25.43413888,58.01866739,2
1.627802659,6.561092839,1
49.0427847,59.59111025,2
11.35772551,39.02093595,1
59.08787094,62.3808178,2
20.74508118,19.85850216,1
35.03989399,37.99230247,2
38.48907953,55.58869127,2
10.31113797,35.82280453,1
11.53159734,9.318230976,1
27.88462838,27.2080683,1
15.68534786,3.491455539,1
74.74075073,26.49266094,3
49.17574734,44.74072582,2
2.475539576,6.954356437,1
55.12334696,41.56373192,2
63.6492352,14.01617375,3
29.36289064,49.54091073,2
40.90051693,4.341734104,3
48.79619713,50.67511595,2
39.35728162,53.01190703,2
47.42559993,59.8172478,2
59.47992656,47.06226765,2
49.77307532,25.00458448,3
82.66949232,61.13936401,2
7.43540475,38.87573241,1
83.22961199,67.29793548,2
8.355217267,16.32218915,1
40.54578381,50.05201892,2
32.89899383,4.016888105,1
36.30302613,10.29319739,3
45.29361573,18.60451221,3
35.25606569,14.7970407,3
17.34478014,12.96076023,1
59.40122894,48.44699828,2
53.71896486,16.70719066,3
52.96313356,53.33259458,2
48.28931034,60.55610523,2
4.854109256,7.624319882,1
5.451056695,6.698138952,1
49.44976513,59.16662093,2
22.06916805,22.69313923,1
26.81355659,41.31885462,2
53.6269209,47.77344532,2
28.52863055,47.1654206,2
11.61404881,9.181618648,1
63.80962357,43.20979589,2
45.02650577,59.67707209,2
30.93250088,22.9942959,1
59.27533887,29.53426572,3
62.78235586,22.37578971,3
22.10156818,12.54265519,1
60.74716158,13.05566228,3
58.20796331,12.36080567,3
37.21110775,3.634725612,3
0.689884571,45.14267734,1
48.59643022,43.22719021,2
5.734235179,44.03394845,1
48.00199604,51.33922512,2
26.2030545,51.0639024,2
1.735238887,8.382612481,1
30.14022902,46.5502025,2
1.875370183,7.209595777,1
72.12677687,1.487254698,3
31.11857016,0.268521311,1
11.95347086,38.78064657,1
9.963242226,46.39774846,1
62.84506679,35.01761437,2
42.05907666,1.116857332,3
33.83441608,46.63074281,2
59.36414408,58.42960669,2
24.60834049,10.20035592,1
52.11532341,43.11583549,2
22.52340193,17.44332215,1
1.207641642,16.12375935,1
46.59468999,40.2408048,2
60.14513222,52.73585468,2
69.41527563,56.0318054,2
60.93178725,13.07338676,3
1.347856867,15.30368988,1
61.83251521,50.00633612,2
8.962439124,26.60958879,1
27.73473943,23.65274003,1
19.0899218,36.3397274,1
58.31587819,52.01297145,2
14.58496747,30.47010947,1
49.12442295,60.93717498,2
61.96080991,5.375768591,3
34.16813253,41.22381835,2
54.23502813,51.14081782,2
68.35929431,5.581196137,3
15.01718619,31.94203945,1
51.49200524,52.19555962,2
8.523429434,48.36113834,1
55.85971487,45.48441326,2
31.89944698,7.932103114,1
25.11886519,55.69649415,2
37.31395055,44.22959241,2
28.38055833,56.90950681,2
8.974407566,45.99452618,1
8.266319472,28.67945354,1
9.777440096,19.38608185,1
44.65597184,55.94290052,2
58.98306939,9.905402267,3
36.64498908,20.89739174,3
15.22453342,33.18385984,1
23.61549848,20.26951767,1
31.97406007,53.97181188,2
60.31474328,12.95990496,3
62.3884221,64.5136734,2
58.03492121,46.45205652,2
26.37672077,41.38431364,2
66.09691093,18.39019922,3
63.90178792,55.35427732,2
20.46672243,48.68658545,2
12.58049991,41.57861862,1
9.342230584,7.19144909,1
45.40697421,53.71426877,2
57.56879841,60.20783878,2
33.28291222,41.84279208,2
18.57628972,37.45061548,1
16.90809007,22.07087124,1
36.91270132,39.8186963,2
12.855769,24.22108079,1
4.35177576,29.23246495,1
56.23826285,53.90382863,2
6.674074651,1.577816547,1
29.12120499,57.89767035,2
6.126379564,0.87275023,1
57.1899645,37.46787678,2
53.98443272,20.50160019,3
58.68430745,51.06106382,2
35.01799298,45.24329944,2
15.82443665,18.65698705,1
49.31014416,46.23178707,2
31.09245263,53.76264483,2
14.46996277,-7.45755322,1
31.41771153,56.86954203,2
15.45273322,5.817039867,1
59.91276423,36.16320354,2
41.54472404,37.90003999,2
52.16682674,36.56169665,2
40.83796087,36.6680041,2
41.20706428,42.91061688,2
2.151853654,49.81296845,1
33.56914946,57.90014871,2
26.05458964,56.90691205,2
45.04117942,56.39461387,2
66.5291693,38.77666458,2
32.17352528,36.43750571,2
