x1,x2
5.26780118,10.2029595
40.10113677,49.63371931
57.12296829,47.88334651
2.086832691,30.03401703
49.45635533,48.30675521
50.86308183,16.15441251
11.24139386,15.74305333
64.89798265,36.2813294
67.03844072,2.967333467
51.74482271,7.47688001
27.04939203,57.28946498
17.10208697,20.43725897
0.836437162,46.43604682
10.24035486,7.335460684
6.105726538,2.701855161
66.98820552,27.96346537
2.486819483,27.18623234
36.52924088,25.58693506
73.27378749,39.91100585
7.895191388,15.00773943
10.9527598,30.0946575
17.68489471,42.17924857
54.65349168,58.1209443
74.75863219,42.07408114
4.249479576,31.36494441
44.79984255,51.5635027
44.49884499,38.68399882
1.894665137,22.70319918
45.39629381,41.16208339
12.10483099,6.04166941
58.35499127,40.49381726
36.21672045,54.1910227
18.85078654,2.344837846
44.49360578,39.63454106
83.98124972,67.75605971
11.34031987,38.97462577
41.15205824,43.71714806
32.42609249,18.12598533
66.62887983,47.65950345
44.61987191,37.15254166
26.91031605,24.62812206
51.0051099,19.55941428
33.31408056,52.28749708
3.868343565,20.72345789
82.81619962,48.31985128
63.42569378,36.47135166
50.35298048,15.39296195
85.58712203,61.34684942
12.8358081,13.19771915
79.30665355,64.36335371
54.55383079,52.17473767
23.5432888,21.71295248
49.57292189,9.341935106
38.39007165,20.07771676
12.54762181,12.84736025
34.56880162,56.83182341
32.61445526,19.7518928
57.85990575,14.60174984
77.767575,22.81596604
34.8677434,11.16075318
66.89659549,10.39968677
15.41027668,29.24177881
44.95223009,47.29600724
53.44686107,41.9565041
12.26498235,19.01178986
66.35527994,35.27916726
11.01143854,-6.233095211
64.76622955,7.013479325
60.50098324,42.64177376
67.88682832,26.04593271
15.86303931,40.20424912
4.788915139,13.13186042
73.14134125,53.64087965
16.25387932,54.03946377
73.23337372,12.43339211
13.39015816,26.96111082
3.458570157,31.49881207
79.6315117,59.40576881
10.56329888,33.82697024
73.46171266,49.98909023
64.46830846,55.84379523
15.96072369,14.1107376
3.584139423,37.44626013
38.06698158,56.33843222
5.577791965,46.89845286
84.83965645,66.83610399
68.38654684,31.57626478
53.83210356,49.18507246
2.457230755,34.09219429
63.63435177,21.9783658
78.90639265,32.45236572
2.064812737,40.92168215
28.13170385,48.84605264
40.56821213,51.65417363
18.0735103,50.40266198
2.796608863,14.19428259
41.28427482,55.89000472
19.76337481,24.26067574
38.73397929,8.343350333
51.81593855,38.99348316
15.6879987,6.193968521
24.9004621,26.3162496
10.58584175,30.31943383
16.42304171,43.22258416
46.28252438,13.5626253
8.781581728,23.75204169
19.61201289,48.88095707
8.838659156,10.37565532
45.8860128,42.20079845
61.4168831,34.91956906
32.5322322,39.20678541
58.36303116,10.47680499
56.08075435,44.22292504
46.53904506,44.09848118
50.53621074,50.59388259
16.5157063,29.32797894
76.22577588,45.71993527
5.463737876,35.93987756
52.97733595,41.45169251
62.09911005,52.44156233
21.33615077,47.55378391
54.93458728,50.36070653
42.08711266,54.48164745
68.56123189,14.09437213
14.55858309,-5.938804658
9.863307984,-8.139714556
27.33178812,50.11345232
